Work number,Title of work,Rightsholder's IPI number,Rightsholder's name,Rightsholder's role,Rightsholder's share (%),Distribution main category,Distribution intermediate category,Distribution subcategory,Venue name,Performer name,Performance date (start),Performance date (end),ISWC,Amount (€)
40281254,All Night Long,370920627,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Events,Events,Event,Failure,2018-04-06,2017-12-11,T9198288787,"0,35"
34235492,NYPD Blue,597137869,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Events,Live and DJ gigs,NA,Tomahawk,2017-11-17,2017-11-03,T9147055834,"0,12"
32917123,Garchomp,69762901,Brisa Bradtke-Eichmann,Arranger,"8,33",Events,Concerts and festivals,Events,Nightlife Spot,Tomahawk,2018-03-31,2018-10-20,T9199362119,"0,24"
44167446,NCIS,239954359,Brisa Bradtke-Eichmann,Arranger,"8,33",Events,Events,Events,NA,Headswim,2017-09-19,2017-12-06,NA,"1,05"
41563174,The Fifth Element,445863699,Brisa Bradtke-Eichmann,Arranger,"8,33",Background music,Events,Medium,NA,Meshuggah,2017-05-18,2018-04-29,T9143534917,"0,08"
42788497,Barbican,174888075,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Events,Events,Arts & Entertainment,Cortizone,2017-01-08,2018-10-31,T9146936323,"0,31"
40502187,Lickitung,149157191,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Concerts and festivals,Small,Arts & Entertainment,Trans Am,2017-12-26,2018-03-08,T9132841951,"1,76"
34163009,Up,607932918,Brisa Bradtke-Eichmann,Arranger,"8,33",Events,Events,Events,NA,Cosmic Psychos,2017-05-04,2018-06-20,T9172625582,"0,07"
42035276,Skuntank,305469216,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Events,Medium,NA,Psychotic,2017-11-24,2018-09-28,T9162641431,"0,32"
30603853,The Backyardigans,519470211,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Events,Events,Residence,Big Business,2018-02-21,2018-11-16,T9174688687,"0,66"
42611431,Take the High Road,461289831,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Events,Live and DJ gigs,NA,Paw,2017-03-17,2018-07-14,T9172402033,"0,08"
31884914,Mystic River,82240452,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Events,Medium,NA,Pablo,2017-07-12,2018-07-01,NA,"1,38"
37599751,Karen,135110270,Brisa Bradtke-Eichmann,Arranger,"8,33",Background music,Events,Events,NA,Tricky,2018-04-03,2018-09-16,T9202538921,"0,25"
33501536,Que Locura,423757565,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Live and DJ gigs,Small,NA,Cortizone,2017-06-23,2018-06-10,NA,"0,08"
39476803,Numel,395979960,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Events,Medium,NA,Headswim,2017-10-13,2018-01-08,T9152249488,"0,32"
29131038,A Class by Himself,514810310,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Concerts and festivals,Events,NA,Dälek,2017-02-06,2018-09-30,NA,"1,76"
41625381,Gothitelle,532409296,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Events,Small,NA,TU,2017-09-26,2018-11-14,T9188319719,"0,24"
32409393,Jersey Shore,401651402,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Concerts and festivals,Events,NA,Intronaut,2018-03-06,2018-02-16,T9167543770,"0,12"
43259810,Ros na Rún,74162639,Brisa Bradtke-Eichmann,Arranger,"8,33",Events,Concerts and festivals,Small,NA,Dälek,2017-05-21,2017-10-22,T9209042374,"0,66"
30562634,Petticoat Junction,352419352,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Events,Events,NA,Big Business,2018-06-14,2018-10-14,T9179655734,"0,35"
36986442,Exeggutor,259369926,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Events,Events,NA,TU,2017-12-23,2018-06-25,T9176957338,"0,24"
42383943,Hoppip,489403565,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Concerts and festivals,Medium,NA,Russian Circles,2017-03-25,2017-10-13,T9161005530,"0,32"
41251876,Pair of Kings,191190901,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Events,Events,NA,Kinski,2018-04-15,2018-06-12,T9177902090,"1,74"
37770086,Burmy,294431653,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Concerts and festivals,Events,NA,Failure,2018-01-16,2017-11-17,T9187463964,"1,76"
41509452,The Milton Berle Show,330239532,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Events,Small,NA,Intronaut,2017-11-08,2018-07-15,T9131907505,"0,35"
28108447,Gloom,597019119,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Events,Events,NA,Psychotic,2017-01-02,2018-06-20,T9177952188,"0,17"
44134581,"Beverly Hills, 90210",371713568,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Concerts and festivals,Events,NA,King Crimson,2017-04-08,2018-02-07,T9139743135,"1,34"
43006455,Azurill,10669674,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Events,Events,NA,YOB,2018-05-23,2018-06-12,T9132371005,"0,32"
39004279,Colditz,564790195,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Concerts and festivals,Medium,NA,Cortizone,2017-12-03,2018-07-03,T9169552462,"1,32"
43708273,Totteridge & Whetstone,337950798,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Concerts and festivals,Events,NA,Trans Am,2017-02-26,2018-10-10,NA,"2,60"
41854832,The Curse of Oak Island,500343099,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Events,Medium,NA,Peach,2017-10-02,2018-03-08,T9180449683,"0,08"
38198952,Ampharos,387603869,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Concerts and festivals,Medium,NA,Psychotic,2017-07-31,2018-05-11,T9155351285,"0,44"
40623313,Frontier,526571906,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Events,Medium,NA,Intronaut,2017-10-13,2017-08-26,T9167953999,"1,76"
31772931,Tyrogue,267832259,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Concerts and festivals,Medium,NA,The Flaming Lips,2018-03-08,2018-01-16,T9149569926,"0,05"
35981559,Fashion,530315533,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Events,Events,NA,The Cows,2018-06-14,2018-05-28,T9160155748,"1,33"
31857939,Primeape,473466822,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Events,Medium,NA,The Cows,2017-07-15,2018-11-23,NA,"1,34"
30682331,Scolipede,53816402,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Concerts and festivals,Events,NA,Tweak Bird,2017-08-31,2018-11-03,NA,"1,38"
44019883,Mienfoo,100176019,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Events,Events,Professional & Other Places,Tomahawk,2018-04-02,2017-08-15,T9150308544,"0,44"
30349153,Lucky Louie,607958972,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Events,Events,NA,Wovenhand,2017-01-30,2018-11-04,NA,"1,38"
32951752,Decisiones,55362976,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Concerts and festivals,Medium,NA,Cosmic Psychos,2017-10-12,2018-04-10,T9153559492,"0,25"
38157175,Seeing Things,439670556,Brisa Bradtke-Eichmann,Arranger,"8,33",Background music,Events,Small,Travel & Transport,Cosmic Psychos,2017-05-06,2017-09-27,T9166332689,"0,08"
37449270,Can't Happen Here,518869645,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Live and DJ gigs,Events,NA,King Crimson,2018-01-21,2018-06-12,T9151254745,"0,17"
42073110,Oxford Circus,144416704,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Concerts and festivals,Events,NA,Dälek,2017-08-26,2018-06-07,T9133281225,"0,31"
42756744,Swadloon,331706958,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Events,Medium,NA,The Cows,2017-07-11,2018-07-12,NA,"0,31"
39523381,Dunkirk,205645053,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Events,Medium,NA,Meshuggah,2018-03-22,2017-08-20,T9181148958,"0,08"
36693233,Raichu,277126670,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Concerts and festivals,Events,NA,Cortizone,2017-05-08,2017-11-06,NA,"0,24"
41312286,Romeo + Juliet,135815695,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Events,Events,NA,Wovenhand,2017-06-13,2017-08-11,T9192438898,"0,24"
